Vivado Simulator 2020.2
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_hs_dual_da.u_hs_dual_da.u_rom_1024x10b.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_hs_dual_da.u_hs_dual_da.u_blk_mem_gen_0.inst.\native_mem_module.blk_mem_gen_v8_4_4_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time=0 us | da_data=200 | uart_txd=1 | led=0000
Warning: [Unisim MMCME2_ADV-20] Input CLKIN1 period and attribute CLKIN1_PERIOD are not same. Instance tb_hs_dual_da.u_hs_dual_da.u_clk_wiz_0.inst.mmcm_adv_inst 
Time=0 us | da_data=200 | uart_txd=1 | led=0001
Time=0 us | da_data=200 | uart_txd=1 | led=0010
Time=0 us | da_data=12a | uart_txd=1 | led=0010
Time=0 us | da_data=10b | uart_txd=1 | led=0010
Time=0 us | da_data=0ed | uart_txd=1 | led=0010
Time=0 us | da_data=0ed | uart_txd=0 | led=0010
Time=0 us | da_data=0d1 | uart_txd=0 | led=0010
Time=0 us | da_data=0b6 | uart_txd=0 | led=0010
Time=0 us | da_data=09c | uart_txd=0 | led=0010
Time=0 us | da_data=084 | uart_txd=0 | led=0010
Time=0 us | da_data=06e | uart_txd=0 | led=0010
Time=0 us | da_data=059 | uart_txd=0 | led=0010
Time=0 us | da_data=047 | uart_txd=0 | led=0010
Time=0 us | da_data=036 | uart_txd=0 | led=0010
Time=0 us | da_data=028 | uart_txd=0 | led=0010
Time=0 us | da_data=01b | uart_txd=0 | led=0010
Time=0 us | da_data=011 | uart_txd=0 | led=0010
Time=0 us | da_data=009 | uart_txd=0 | led=0010
Time=0 us | da_data=004 | uart_txd=0 | led=0010
Time=0 us | da_data=000 | uart_txd=0 | led=0010
Time=0 us | da_data=001 | uart_txd=0 | led=0010
Time=0 us | da_data=005 | uart_txd=0 | led=0010
Time=0 us | da_data=00b | uart_txd=0 | led=0010
Time=0 us | da_data=013 | uart_txd=0 | led=0010
Time=0 us | da_data=01d | uart_txd=0 | led=0010
Time=0 us | da_data=02a | uart_txd=0 | led=0010
Time=0 us | da_data=039 | uart_txd=0 | led=0010
Time=0 us | da_data=04a | uart_txd=0 | led=0010
Time=0 us | da_data=05d | uart_txd=0 | led=0010
Time=0 us | da_data=072 | uart_txd=0 | led=0010
Time=0 us | da_data=088 | uart_txd=0 | led=0010
Time=0 us | da_data=0a0 | uart_txd=0 | led=0010
Time=0 us | da_data=0ba | uart_txd=0 | led=0010
Time=0 us | da_data=0d6 | uart_txd=0 | led=0010
Time=0 us | da_data=0f2 | uart_txd=0 | led=0010
Time=0 us | da_data=110 | uart_txd=0 | led=0010
Time=0 us | da_data=12f | uart_txd=0 | led=0010
Time=0 us | da_data=14f | uart_txd=0 | led=0010
Time=0 us | da_data=170 | uart_txd=0 | led=0010
Time=0 us | da_data=192 | uart_txd=0 | led=0010
Time=0 us | da_data=1b4 | uart_txd=0 | led=0010
Time=0 us | da_data=1d6 | uart_txd=0 | led=0010
Time=0 us | da_data=1f8 | uart_txd=0 | led=0010
Time=0 us | da_data=21b | uart_txd=0 | led=0010
Time=0 us | da_data=23d | uart_txd=0 | led=0010
Time=0 us | da_data=25f | uart_txd=0 | led=0010
Time=0 us | da_data=281 | uart_txd=0 | led=0010
Time=0 us | da_data=2a2 | uart_txd=0 | led=0010
Time=0 us | da_data=2c2 | uart_txd=0 | led=0010
Time=0 us | da_data=2e1 | uart_txd=0 | led=0010
Time=0 us | da_data=300 | uart_txd=0 | led=0010
Time=0 us | da_data=31d | uart_txd=0 | led=0010
Time=0 us | da_data=339 | uart_txd=0 | led=0010
Time=0 us | da_data=353 | uart_txd=0 | led=0010
Time=0 us | da_data=36c | uart_txd=0 | led=0010
Time=0 us | da_data=383 | uart_txd=0 | led=0010
